CMDLINE /usr/local/bin/python3 diffusion.py
FUNC __main__.evolve 103.4219 1737501791.7841 103.4219 1737501791.8497 1
FUNC __main__.evolve 103.4219 1737501791.8514 103.4219 1737501791.9167 1
FUNC __main__.evolve 103.4219 1737501791.9185 103.4219 1737501791.9843 1
FUNC __main__.evolve 103.4219 1737501791.9860 103.4219 1737501792.0516 1
FUNC __main__.evolve 103.4219 1737501792.0533 103.4219 1737501792.1187 1
FUNC __main__.evolve 103.4219 1737501792.1206 103.4375 1737501792.1864 1
FUNC __main__.evolve 103.4375 1737501792.1882 103.4375 1737501792.2536 1
FUNC __main__.evolve 103.4375 1737501792.2554 103.4375 1737501792.3239 1
FUNC __main__.evolve 103.4375 1737501792.3257 103.4375 1737501792.3916 1
FUNC __main__.evolve 103.4375 1737501792.3933 103.4375 1737501792.4590 1
FUNC __main__.evolve 103.4375 1737501792.4607 103.4375 1737501792.5262 1
FUNC __main__.evolve 103.4375 1737501792.5280 103.4375 1737501792.5933 1
FUNC __main__.evolve 103.4375 1737501792.5950 103.4375 1737501792.6599 1
FUNC __main__.evolve 103.4375 1737501792.6616 103.4375 1737501792.7267 1
FUNC __main__.evolve 103.4375 1737501792.7284 103.4375 1737501792.7934 1
FUNC __main__.evolve 103.4375 1737501792.7951 103.4375 1737501792.8607 1
FUNC __main__.evolve 103.4375 1737501792.8624 103.4375 1737501792.9277 1
FUNC __main__.evolve 103.4375 1737501792.9294 103.4375 1737501792.9948 1
FUNC __main__.evolve 103.4375 1737501792.9965 103.4375 1737501793.0621 1
FUNC __main__.evolve 103.4375 1737501793.0638 103.4375 1737501793.1291 1
FUNC __main__.evolve 103.4375 1737501793.1309 103.4375 1737501793.1962 1
FUNC __main__.evolve 103.4375 1737501793.1980 103.4375 1737501793.2647 1
FUNC __main__.evolve 103.4375 1737501793.2666 103.4375 1737501793.3320 1
FUNC __main__.evolve 103.4375 1737501793.3338 103.4375 1737501793.3999 1
FUNC __main__.evolve 103.4375 1737501793.4017 103.4375 1737501793.4668 1
FUNC __main__.evolve 103.4375 1737501793.4685 103.4375 1737501793.5341 1
FUNC __main__.evolve 103.4375 1737501793.5358 103.4375 1737501793.6010 1
FUNC __main__.evolve 103.4375 1737501793.6027 103.4375 1737501793.6680 1
FUNC __main__.evolve 103.4375 1737501793.6697 103.4375 1737501793.7347 1
FUNC __main__.evolve 103.4375 1737501793.7364 103.4375 1737501793.8019 1
FUNC __main__.evolve 103.4375 1737501793.8036 103.4375 1737501793.8691 1
FUNC __main__.evolve 103.4375 1737501793.8708 103.4375 1737501793.9361 1
FUNC __main__.evolve 103.4375 1737501793.9378 103.4375 1737501794.0031 1
FUNC __main__.evolve 103.4375 1737501794.0049 103.4375 1737501794.0698 1
FUNC __main__.evolve 103.4375 1737501794.0716 103.4375 1737501794.1369 1
